Customer,Class,Kcustomer,Location
Customer1,Class01,Local,CDMX
Customer2,Class01,Foraneo,HIDALGO
Customer3,Class01,Local,CDMX
Customer4,Class01,Foraneo,ESTADO DE MEXICO
Customer5,Class01,Foraneo,Queretaro
Customer6,Class01,Foraneo,EDO MEX
Customer7,Class01,Foraneo,CDMX
Customer8,Class01,Local,CDMX
Customer9,Class01,Local,EDO MEX
Customer10,Class01,Local,CDMX
Customer11,Class01,Foraneo,EDO MEX
Customer12,Class02,Foraneo,OAXACA
Customer13,Class01,Local,EDO MEX
Customer14,Class01,Foraneo,CDMX
Customer15,Class01,Local,CDMX
Customer16,Class01,Local,CDMX
Customer17,Class01,Local,CDMX
Customer18,Class01,Foraneo,CDMX
Customer19,Class01,Local,CDMX
Customer20,Class01,Local,CDMX
Customer21,Class01,Local,CDMX
Customer22,Class01,Local,CDMX
Customer23,Class02,Local,CDMX
Customer24,Class01,Local,CDMX
Customer25,Class01,Local,EDO MEX
Customer26,Class01,Local,EDO MEX
Customer27,Class01,Local,CDMX
Customer28,Class01,Foraneo,EDO MEX
Customer29,Class01,Local,CDMX
Customer30,Class01,Local,CDMX
Customer31,Class01,Foraneo,EDO MEX
Customer32,Class01,Local,CDMX
Customer33,Class01,Local,CDMX
Customer34,Class01,Local,CDMX
Customer35,Class01,Local,CDMX
Customer36,Class01,Local,EDO MEX
Customer37,Class01,Local,CDMX
Customer38,Class01,Foraneo,EDO MEX
Customer39,Class01,Local,CDMX
Customer40,Class01,Local,CDMX
Customer41,Class01,Local,CDMX
Customer42,Class01,Local,CDMX
Customer43,Class01,Foraneo,COAHUILA
Customer44,Class01,Local,CDMX
Customer45,Class01,Local,CDMX
Customer46,Class01,Local,CDMX
Customer47,Class02,Foraneo,PUEBLA
Customer48,Class01,Local,CDMX
Customer49,Class03,Local,EDO MEX
Customer50,Class01,Local,CDMX
Customer51,Class01,Foraneo,TAMAULIPAS
Customer52,Class01,Foraneo,CDMX
Customer53,Class01,Foraneo,CDMX
Customer54,Class01,Local,CDMX
Customer55,Class01,Local,CDMX
Customer56,Class01,Foraneo,HIDALGO
Customer57,Class01,Foraneo,CDMX
Customer58,Class01,Foraneo,EDO MEX
Customer59,Class01,Local,EDO MEX
Customer60,Class01,Foraneo,QUINTANA ROO
Customer61,Class01,Foraneo,MORELOS
Customer62,Class01,Local,CDMX
Customer63,Class01,Foraneo,EDO MEX
Customer64,Class01,Foraneo,CDMX
Customer65,Class01,Local,CDMX
Customer66,Class01,Local,CDMX
Customer67,Class01,Local,CDMX
Customer68,Class01,Local,EDO MEX
Customer69,Class01,Local,CDMX
Customer70,Class01,Local,CDMX
Customer71,Class01,Local,CDMX
Customer72,Class01,Foraneo,HGO.
Customer73,Class01,Local,CDMX
Customer74,Class01,Local,CDMX
Customer75,Class01,Local,ESTADO DE MEXICO
Customer76,Class01,Local,
Customer77,Class01,Local,CDMX
Customer78,Class01,Foraneo,
Customer79,Class01,Local,
Customer80,Class01,Local,
Customer81,Class01,Local,
Customer82,Class01,Local,
Customer83,Class01,Local,
Customer84,Class01,Local,
Customer85,Class01,Local,
Customer86,Class01,Foraneo,
Customer87,Class04,Local,
Customer88,Class01,Local,
Customer89,Class01,Local,
Customer90,Class04,Local,
Customer91,Class01,Local,
Customer92,Class01,Foraneo,
Customer93,Class01,Foraneo,
Customer94,Class01,Local,
Customer95,Class01,Local,
Customer96,Class01,Foraneo,
