customer,type_c,consumption_c,location_c
Customer1,Class01,center,CIUDAD DE MEXICO
Customer2,Class01,center,HIDALGO
Customer3,Class01,center,CIUDAD DE MEXICO
Customer4,Class01,center,ESTADO DE MEXICO
Customer5,Class01,center,QUERETARO
Customer6,Class01,center,ESTADO DE MEXICO
Customer7,Class01,center,CIUDAD DE MEXICO
Customer8,Class01,center,CIUDAD DE MEXICO
Customer9,Class01,center,ESTADO DE MEXICO
Customer10,Class01,center,CIUDAD DE MEXICO
Customer11,Class01,center,ESTADO DE MEXICO
Customer12,Class02,south,OAXACA
Customer13,Class01,center,ESTADO DE MEXICO
Customer14,Class01,center,CIUDAD DE MEXICO
Customer15,Class01,center,CIUDAD DE MEXICO
Customer16,Class01,center,CIUDAD DE MEXICO
Customer17,Class01,center,CIUDAD DE MEXICO
Customer18,Class01,center,CIUDAD DE MEXICO
Customer19,Class01,center,CIUDAD DE MEXICO
Customer20,Class01,center,CIUDAD DE MEXICO
Customer21,Class01,center,CIUDAD DE MEXICO
Customer22,Class01,center,CIUDAD DE MEXICO
Customer23,Class02,center,CIUDAD DE MEXICO
Customer24,Class01,center,CIUDAD DE MEXICO
Customer25,Class01,center,ESTADO DE MEXICO
Customer26,Class01,center,ESTADO DE MEXICO
Customer27,Class01,center,CIUDAD DE MEXICO
Customer28,Class01,center,ESTADO DE MEXICO
Customer29,Class01,center,CIUDAD DE MEXICO
Customer30,Class01,center,CIUDAD DE MEXICO
Customer31,Class01,center,ESTADO DE MEXICO
Customer32,Class01,center,CIUDAD DE MEXICO
Customer33,Class01,center,CIUDAD DE MEXICO
Customer34,Class01,center,CIUDAD DE MEXICO
Customer35,Class01,center,CIUDAD DE MEXICO
Customer36,Class01,center,ESTADO DE MEXICO
Customer37,Class01,center,CIUDAD DE MEXICO
Customer38,Class01,center,ESTADO DE MEXICO
Customer39,Class01,center,CIUDAD DE MEXICO
Customer40,Class01,center,CIUDAD DE MEXICO
Customer41,Class01,center,CIUDAD DE MEXICO
Customer42,Class01,center,CIUDAD DE MEXICO
Customer43,Class01,north,COAHUILA
Customer44,Class01,center,CIUDAD DE MEXICO
Customer45,Class01,center,CIUDAD DE MEXICO
Customer46,Class01,center,CIUDAD DE MEXICO
Customer47,Class02,center,PUEBLA
Customer48,Class01,center,CIUDAD DE MEXICO
Customer49,Class03,center,ESTADO DE MEXICO
Customer50,Class01,center,CIUDAD DE MEXICO
Customer51,Class01,north,TAMAULIPAS
Customer52,Class01,center,CIUDAD DE MEXICO
Customer53,Class01,center,CIUDAD DE MEXICO
Customer54,Class01,center,CIUDAD DE MEXICO
Customer55,Class01,center,CIUDAD DE MEXICO
Customer56,Class01,center,HIDALGO
Customer57,Class01,center,CIUDAD DE MEXICO
Customer58,Class01,center,ESTADO DE MEXICO
Customer59,Class01,center,ESTADO DE MEXICO
Customer60,Class01,south,QUINTANA ROO
Customer61,Class01,center,MORELOS
Customer62,Class01,center,CIUDAD DE MEXICO
Customer63,Class01,center,ESTADO DE MEXICO
Customer64,Class01,center,CIUDAD DE MEXICO
Customer65,Class01,center,CIUDAD DE MEXICO
Customer66,Class01,center,CIUDAD DE MEXICO
Customer67,Class01,center,CIUDAD DE MEXICO
Customer68,Class01,center,ESTADO DE MEXICO
Customer69,Class01,center,CIUDAD DE MEXICO
Customer70,Class01,center,CIUDAD DE MEXICO
Customer71,Class01,center,CIUDAD DE MEXICO
Customer72,Class01,center,HIDALGO
Customer73,Class01,center,CIUDAD DE MEXICO
Customer74,Class01,center,CIUDAD DE MEXICO
Customer75,Class01,center,ESTADO DE MEXICO
Customer76,Class01,center,CIUDAD DE MEXICO
Customer77,Class01,center,CIUDAD DE MEXICO
Customer78,Class01,center,CIUDAD DE MEXICO
Customer79,Class01,center,CIUDAD DE MEXICO
Customer80,Class01,center,CIUDAD DE MEXICO
Customer81,Class01,center,CIUDAD DE MEXICO
Customer82,Class01,center,CIUDAD DE MEXICO
Customer83,Class01,center,CIUDAD DE MEXICO
Customer84,Class01,center,CIUDAD DE MEXICO
Customer85,Class01,center,CIUDAD DE MEXICO
Customer86,Class01,center,CIUDAD DE MEXICO
Customer87,Class04,center,CIUDAD DE MEXICO
Customer88,Class01,center,CIUDAD DE MEXICO
Customer89,Class01,center,CIUDAD DE MEXICO
Customer90,Class04,center,CIUDAD DE MEXICO
Customer91,Class01,center,CIUDAD DE MEXICO
Customer92,Class01,center,CIUDAD DE MEXICO
Customer93,Class01,center,CIUDAD DE MEXICO
Customer94,Class01,center,CIUDAD DE MEXICO
Customer95,Class01,center,CIUDAD DE MEXICO
Customer96,Class01,center,CIUDAD DE MEXICO
Customer97,Class01,center,CIUDAD DE MEXICO
Customer98,Class01,center,CIUDAD DE MEXICO
Customer99,Class01,center,CIUDAD DE MEXICO
Customer100,Class01,center,CIUDAD DE MEXICO
Customer101,Class01,center,CIUDAD DE MEXICO
Customer102,Class01,center,CIUDAD DE MEXICO
Customer103,Class01,center,CIUDAD DE MEXICO
Customer104,Class01,center,CIUDAD DE MEXICO
Customer105,Class01,center,CIUDAD DE MEXICO
Customer106,Class01,center,CIUDAD DE MEXICO
Customer107,Class01,center,CIUDAD DE MEXICO
Customer108,Class01,center,CIUDAD DE MEXICO
Customer109,Class01,center,CIUDAD DE MEXICO
Customer110,Class01,center,CIUDAD DE MEXICO
Customer111,Class01,center,CIUDAD DE MEXICO
Customer112,Class01,center,CIUDAD DE MEXICO
Customer113,Class01,center,CIUDAD DE MEXICO
Customer114,Class01,center,CIUDAD DE MEXICO
Customer115,Class01,center,CIUDAD DE MEXICO
