Item,Description,Dim,Dimension,GDim,Tipo,Unit
Item_1,SCRAP BAGS,1605,[M] Comp Empaques,Abarrotes,Venta,PZ
Item_2,APIO C/6KG,9001,Verduras,Frutas y verduras,Venta,KG
Item_3,PURPLE CABBAGE 2KG,9001,Verduras,Frutas y verduras,Venta,KG
Item_4,other products,1906,No,Abarrotes,No,KG
Item_5,THE NIGHTINGALE T-SHIRTS,1904,[M] Uniformes,Abarrotes,Materiales,PZ
Item_6,YELLOW ORANGE KILO,9003,Frutas Frescas,Frutas y verduras,Venta,PZ
Item_44,PERMANENT MARKER,1401,Abarrote S/C,Abarrotes,Venta,PZ
Item_45,Use code ATUN002,1401,Abarrote S/C,Abarrotes,Venta,PZ
Item_46,PLASTIC BAG,1401,Abarrote S/C,Abarrotes,Venta,KG
Item_47,BLACK BAG,1401,Abarrote S/C,Abarrotes,Venta,KG
Item_48,LONG GRAY GRAY,9003,Frutas Frescas,Frutas y verduras,Venta,KG
Item_49,POLYPAPER SHEET,1220,Papel,Abarrotes,Venta,KG
Item_50,LINAZA SABILAFLAX 30 PZ,8007,Linaza,Semillas,Venta,PZ
Item_51,DO NOT USE BROWN PAPER*********,1220,Papel,Abarrotes,Venta,KG
Item_52,DO NOT USE STRAP PAPER*********,1220,Papel,Abarrotes,Venta,Pz
Item_53,MEAT TENDERIZER,1401,Abarrote S/C,Abarrotes,Venta,KG
Item_54,CARBONELL OIL 1 LTO,1103,Aceites,Abarrotes,Venta,PZ
Item_55,CARBONELL OIL 200 ML,1103,Aceites,Abarrotes,Venta,PZ
Item_56,CARBONELL OIL 500 ML,1103,Aceites,Abarrotes,Venta,PZ
Item_57,CARBONELL EXTRA VIRGIN OIL,1103,Aceites,Abarrotes,Venta,PZ
Item_58,CARBONELL EXTRA VIRGIN OIL,1103,Aceites,Abarrotes,Venta,PZ
Item_59,GRAPE SEED OIL 500 ML,1101,Aceite PU,Abarrotes,Venta,PZ
Item_60,GITANA OIL GALLON 5 LTO,1103,Aceites,Abarrotes,Venta,PZ
Item_61,REFINED GYPSY OIL 375 ML,1103,Aceites,Abarrotes,Venta,PZ
Item_62,REFINED GYPSY OIL 750 ML,1103,Aceites,Abarrotes,Venta,PZ
Item_63,VIRGIN GYPSY OIL 375 ML,1103,Aceites,Abarrotes,Venta,PZ
Item_64,VIRGIN GYPSY OIL 750 ML,1103,Aceites,Abarrotes,Venta,PZ
Item_65,YBARRA BLUE OIL 473 ML,1103,Aceites,Abarrotes,Venta,PZ
Item_66,YBARRA BLUE OIL 200 ML,1103,Aceites,Abarrotes,Venta,PZ
Item_67,YBARR BLUE OIL 946 ML,1103,Aceites,Abarrotes,Venta,PZ
Item_68,FIKU OLIVE OIL C/2PZ/3.785M,1103,Aceites,Abarrotes,Venta,PZ
Item_69,INES GRAPE SEED OIL,1101,Aceite PU,Abarrotes,Venta,PZ
Item_70,INES GRAPE SEED OIL,1101,Aceite PU,Abarrotes,Venta,PZ
Item_71,INES GRAPE SEED OIL,1101,Aceite PU,Abarrotes,Venta,PZ
Item_72,BORGES GRAPE SEED OIL,1101,Aceite PU,Abarrotes,Venta,PZ
Item_73,OLIVI GRAPE SEED OIL 500ml,1101,Aceite PU,Abarrotes,Venta,PZ
Item_74,MIXED OIL 200ML,1103,Aceites,Abarrotes,Venta,PZ
Item_75,MIXED OIL STRIP 20 12 PZ,1103,Aceites,Abarrotes,Venta,PZ
Item_76,MIXED OIL 350 ML 30 PZ,1103,Aceites,Abarrotes,Venta,PZ
Item_77,MIXED OIL 775 ML 12 PZ,1103,Aceites,Abarrotes,Venta,PZ
Item_78,OLIVE OIL STRIP 20 12PCS,1103,Aceites,Abarrotes,Venta,PZ
Item_79,OLIVE OIL 200ML 30 PZ,1103,Aceites,Abarrotes,Venta,PZ
Item_80,OLIVE OIL 800ML 12PCS,1103,Aceites,Abarrotes,Venta,PZ
Item_81,YELLOW YBAR OIL 1L/12P,1103,Aceites,Abarrotes,Venta,LT
Item_82,YELLOW BAR OIL .5ML/24,1103,Aceites,Abarrotes,Venta,PZ
Item_83,YELLOW YBARRA OIL 250ML,1103,Aceites,Abarrotes,Venta,PZ
Item_84,EXT VIRGIN CARAPELLI OIL,1103,Aceites,Abarrotes,Venta,LT
Item_85,COCONUT OIL,1103,Aceites,Abarrotes,Venta,KG
Item_86,VICTORIA OIL 12/900 ML,1103,Aceites,Abarrotes,Venta,PZ
Item_87,AVOCADO OIL 250ml,1102,Aceite Aguacate,Abarrotes,Venta,PZ
